bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3e383a90:	dummy;	0.185465	5	-6	85
3e406600:	time lag;	0.17991	0.18546
3e395af0:	dummy;	0.186421	6	-8	86
3e4072d0:	time lag;	0.18101	0.18642
3e3a6f40:	dummy;	0.187377	7	-10	87
3e407f60:	time lag;	0.18207	0.18738
3e3b98d0:	dummy;	0.188336	8	-12	88
3e408c00:	time lag;	0.18320	0.18834
3e3d5c30:	dummy;	0.189292	8	-12	88
3e490de0:	time lag;	0.18492	0.18929
3e3de120:	dummy;	0.190249	8	-12	88
3e491fb0:	time lag;	0.18543	0.19025
3e3effe0:	dummy;	0.191205	8	-12	88
3e492f30:	time lag;	0.18652	0.19121
3e3f0350:	dummy;	0.192163	8	-12	88
3e493d90:	time lag;	0.18654	0.19216
3e3f04a0:	dummy;	0.193119	8	-12	88
3e495210:	time lag;	0.18654	0.19312
3e402540:	dummy;	0.194072	8	-12	88
3e496180:	time lag;	0.18764	0.19407
3e4134d0:	dummy;	0.195022	8	-12	88
3e496ee0:	time lag;	0.18868	0.19502
3e4259a0:	dummy;	0.195966	8	-12	88
3e497e10:	time lag;	0.18980	0.19597
3e437f40:	dummy;	0.196923	8	-12	88
3e498ab0:	time lag;	0.19092	0.19692
3e44a730:	dummy;	0.197879	8	-12	88
3e499740:	time lag;	0.19204	0.19788
3e466ba0:	dummy;	0.198835	8	-12	88
3e5264e0:	time lag;	0.19377	0.19884
3e46d720:	dummy;	0.199791	8	-12	88
3e5275f0:	time lag;	0.19418	0.19979
3e480840:	dummy;	0.200744	8	-12	88
3e528d00:	time lag;	0.19534	0.20074
3e491b00:	dummy;	0.201688	9	-12	88
3e52a060:	time lag;	0.19639	0.20169
3e4a4a50:	dummy;	0.202644	10	-12	88
3e52b0a0:	time lag;	0.19755	0.20264
3e4a4db0:	dummy;	0.203601	11	-12	88
3e52bcb0:	time lag;	0.19756	0.20360
3e4b7350:	dummy;	0.204557	12	-12	88
3e52c840:	time lag;	0.19868	0.20456
3e4c98e0:	dummy;	0.205516	12	-12	88
3e52d2c0:	time lag;	0.19980	0.20552
3e4dc2f0:	dummy;	0.206472	12	-12	88
3e52de00:	time lag;	0.20094	0.20647
3e4ef390:	dummy;	0.20743	12	-12	88
3e52e880:	time lag;	0.20210	0.20743
3e503e20:	dummy;	0.208387	12	-12	88
3e5be4d0:	time lag;	0.20336	0.20839
3e513270:	dummy;	0.209345	12	-12	88
3e5bf380:	time lag;	0.20429	0.20935
3e529c70:	dummy;	0.210303	12	-12	88
3e5bff90:	time lag;	0.20567	0.21030
3e52a0b0:	dummy;	0.21126	12	-12	88
3e5c0ad0:	time lag;	0.20569	0.21126
3e537f40:	dummy;	0.212216	12	-12	88
3e5c1870:	time lag;	0.20654	0.21222
3e548300:	dummy;	0.213175	12	-12	88
